ncl,clumptype,maxpix x,maxpix y,maxpix v,Npix,Nvox,COmax,meansigv,errsigv,ellipse a,ellipse b,ellipse R,ellipse R error,area,perimeter
1,2,1315,1341,43,6852,82128,28.44033241,79.07971369,3.653573193,19.69,31.33,36.32,11.86,15278.04219,961.6367295
2,2,685,1613,24,10517,99359,23.88297844,50.86102655,1.715195078,37.91,60.56,75.87,15.51,23449.96639,1101.999855
3,2,1119,1357,33,29729,253084,20.65579987,51.07993884,2.120141057,73.52,62.28,108.6,26.92,66287.34914,2281.647395
4,2,762,1669,13,4659,27013,19.6638546,33.89470721,1.31035496,36.75,22.5,43.3,15.87,10388.26599,803.3549075
5,2,1169,1434,30,28119,219102,19.24252319,48.41517345,1.718523767,68.99,66.15,108.4,24.73,62697.49977,2245.810002
6,2,1338,1463,30,15439,80620,17.9478054,41.60924965,1.677653744,71.13,44.78,90.03,26.73,34424.64877,1660.465906
7,2,1059,445,40,11281,56198,17.75162125,30.86823003,1.186999805,30.59,51.44,62.03,23.03,25153.47256,1251.322328
8,2,1276,1478,24,4866,32266,16.90164375,41.55558785,1.694399328,32.2,22.51,40.06,10.66,10849.81805,719.7343224
9,2,1459,621,36,8525,20816,16.79867172,17.28733123,0.8044654362,12.69,18.02,17.14,5.052,19008.36394,1412.590599
10,2,1136,408,38,14283,83269,16.7163372,35.38431016,1.214420082,62.87,29.92,68.27,9.337,31847.09233,1815.761278
11,2,649,1708,14,9170,78315,16.21398735,56.10148567,2.504006976,29.28,55.41,63.06,17.69,20446.53341,940.7315832
12,2,1322,1404,33,3304,14099,16.20562172,19.14822872,0.6846933456,21.92,32.89,39.93,8.353,7366.995243,645.0730856
13,2,1131,469,37,14327,100445,15.72673416,49.77132868,2.230612761,33.93,74.03,79.54,32.63,31945.20001,1717.208445
14,2,811,1685,28,2554,20770,15.19547939,46.60930249,1.584784065,22.46,14.72,23.73,6.621,5694.70516,433.0351732
15,2,1279,1432,20,853,3193,14.56726551,14.1953984,0.4601732178,12.01,20.63,18.56,11.49,1901.951254,215.0243619
16,2,1281,1221,57,9812,69510,14.20004654,41.07470018,1.7986492,37.8,59.86,75.29,17.47,21878.01372,1024.352168
17,2,1348,1341,68,2728,19310,14.03469849,45.257639,1.896064566,20.52,28.66,35.27,4.173,6082.676459,522.6286573
18,2,661,1627,39,20533,88550,13.64036179,30.41740998,1.274111986,43.88,171.8,140,101.5,45782.84301,2619.116185
